"","num_arms","outcome_type","n1","n2","mean1","mean2","sd1","sd2","trteff1","trteff2","MEM_power","MEMr_power","pval_power"
"178",1,"continuous",500,500,1,5,1,1,NA,NA,1,1,1
"179",1,"continuous",500,500,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1
"180",1,"continuous",500,500,1,5,10,10,NA,NA,1,0.9994,1
"181",2,"binary",100,100,0.1,0.1,NA,NA,0.1,0.1,NA,0.009,0.067
"182",2,"binary",100,100,0.1,0.1,NA,NA,0.1,0.2,NA,0.0352,0.1659
"183",2,"binary",100,100,0.1,0.1,NA,NA,0.1,0.3,NA,0.1116,0.3644
"184",2,"binary",100,100,0.1,0.1,NA,NA,0.1,0.4,NA,0.2437,0.5575
"185",2,"binary",100,100,0.1,0.1,NA,NA,0.1,0.5,NA,0.401,0.7143
"186",2,"binary",150,150,0.1,0.1,NA,NA,0.1,0.1,NA,0.0041,0.053
"187",2,"binary",150,150,0.1,0.1,NA,NA,0.1,0.2,NA,0.039,0.1978
"188",2,"binary",150,150,0.1,0.1,NA,NA,0.1,0.3,NA,0.1572,0.4774
"189",2,"binary",150,150,0.1,0.1,NA,NA,0.1,0.4,NA,0.3513,0.7129
"190",2,"binary",150,150,0.1,0.1,NA,NA,0.1,0.5,NA,0.5751,0.8513
"191",2,"binary",200,200,0.1,0.1,NA,NA,0.1,0.1,NA,0.0026,0.0546
"192",2,"binary",200,200,0.1,0.1,NA,NA,0.1,0.2,NA,0.0516,0.2573
"193",2,"binary",200,200,0.1,0.1,NA,NA,0.1,0.3,NA,0.2284,0.5919
"194",2,"binary",200,200,0.1,0.1,NA,NA,0.1,0.4,NA,0.4915,0.8276
"195",2,"binary",200,200,0.1,0.1,NA,NA,0.1,0.5,NA,0.7292,0.9386
"196",2,"binary",250,250,0.1,0.1,NA,NA,0.1,0.1,NA,0.0031,0.0553
"197",2,"binary",250,250,0.1,0.1,NA,NA,0.1,0.2,NA,0.0667,0.3151
"198",2,"binary",250,250,0.1,0.1,NA,NA,0.1,0.3,NA,0.3061,0.698
"199",2,"binary",250,250,0.1,0.1,NA,NA,0.1,0.4,NA,0.6209,0.9011
"200",2,"binary",250,250,0.1,0.1,NA,NA,0.1,0.5,NA,0.8374,0.9759
"201",2,"binary",300,300,0.1,0.1,NA,NA,0.1,0.1,NA,0.0026,0.0548
"202",2,"binary",300,300,0.1,0.1,NA,NA,0.1,0.2,NA,0.0796,0.3567
"203",2,"binary",300,300,0.1,0.1,NA,NA,0.1,0.3,NA,0.3711,0.7584
"204",2,"binary",300,300,0.1,0.1,NA,NA,0.1,0.4,NA,0.703,0.942
"205",2,"binary",300,300,0.1,0.1,NA,NA,0.1,0.5,NA,0.9044,0.9891
"206",2,"binary",350,350,0.1,0.1,NA,NA,0.1,0.1,NA,0.0028,0.0521
"207",2,"binary",350,350,0.1,0.1,NA,NA,0.1,0.2,NA,0.0945,0.4088
"208",2,"binary",350,350,0.1,0.1,NA,NA,0.1,0.3,NA,0.4491,0.8253
"209",2,"binary",350,350,0.1,0.1,NA,NA,0.1,0.4,NA,0.7891,0.968
"210",2,"binary",350,350,0.1,0.1,NA,NA,0.1,0.5,NA,0.9467,0.9956
"211",2,"binary",400,400,0.1,0.1,NA,NA,0.1,0.1,NA,0.0029,0.0525
"212",2,"binary",400,400,0.1,0.1,NA,NA,0.1,0.2,NA,0.1031,0.4491
"213",2,"binary",400,400,0.1,0.1,NA,NA,0.1,0.3,NA,0.5136,0.8717
"214",2,"binary",400,400,0.1,0.1,NA,NA,0.1,0.4,NA,0.8542,0.983
"215",2,"binary",400,400,0.1,0.1,NA,NA,0.1,0.5,NA,0.9731,0.9985
"216",2,"binary",450,450,0.1,0.1,NA,NA,0.1,0.1,NA,0.0023,0.0499
"217",2,"binary",450,450,0.1,0.1,NA,NA,0.1,0.2,NA,0.1272,0.4967
"218",2,"binary",450,450,0.1,0.1,NA,NA,0.1,0.3,NA,0.5805,0.9074
"219",2,"binary",450,450,0.1,0.1,NA,NA,0.1,0.4,NA,0.8997,0.9903
"220",2,"binary",450,450,0.1,0.1,NA,NA,0.1,0.5,NA,0.984,0.9992
"221",2,"binary",500,500,0.1,0.1,NA,NA,0.1,0.1,NA,0.0023,0.0494
"222",2,"binary",500,500,0.1,0.1,NA,NA,0.1,0.2,NA,0.1417,0.5364
"223",2,"binary",500,500,0.1,0.1,NA,NA,0.1,0.3,NA,0.6384,0.9301
"224",2,"binary",500,500,0.1,0.1,NA,NA,0.1,0.4,NA,0.9269,0.9947
"225",2,"binary",500,500,0.1,0.1,NA,NA,0.1,0.5,NA,0.9917,0.9997
"226",2,"continuous",100,100,1,1,1,1,1,1,NA,0.0048,0.0464
"227",2,"continuous",100,100,1,1,1,1,1,2,NA,0.7485,0.9416
"228",2,"continuous",100,100,1,1,1,1,1,3,NA,1,1
"229",2,"continuous",100,100,1,1,1,1,1,4,NA,1,1
"230",2,"continuous",100,100,1,1,1,1,1,5,NA,1,1
"231",2,"continuous",100,100,1,1,3.16227766016838,3.16227766016838,1,1,NA,0.0048,0.0464
"232",2,"continuous",100,100,1,1,3.16227766016838,3.16227766016838,1,2,NA,0.0427,0.1932
"233",2,"continuous",100,100,1,1,3.16227766016838,3.16227766016838,1,3,NA,0.2662,0.6003
"234",2,"continuous",100,100,1,1,3.16227766016838,3.16227766016838,1,4,NA,0.6883,0.9162
"235",2,"continuous",100,100,1,1,3.16227766016838,3.16227766016838,1,5,NA,0.948,0.9943
"236",2,"continuous",100,100,1,1,10,10,1,1,NA,0.0048,0.0464
"237",2,"continuous",100,100,1,1,10,10,1,2,NA,0.0082,0.0622
"238",2,"continuous",100,100,1,1,10,10,1,3,NA,0.0174,0.1061
"239",2,"continuous",100,100,1,1,10,10,1,4,NA,0.0385,0.1779
"240",2,"continuous",100,100,1,1,10,10,1,5,NA,0.0793,0.2822
"241",2,"continuous",150,150,1,1,1,1,1,1,NA,0.0042,0.0502
"242",2,"continuous",150,150,1,1,1,1,1,2,NA,0.9204,0.9898
"243",2,"continuous",150,150,1,1,1,1,1,3,NA,1,1
"244",2,"continuous",150,150,1,1,1,1,1,4,NA,1,1
"245",2,"continuous",150,150,1,1,1,1,1,5,NA,1,1
"246",2,"continuous",150,150,1,1,3.16227766016838,3.16227766016838,1,1,NA,0.0042,0.0502
"247",2,"continuous",150,150,1,1,3.16227766016838,3.16227766016838,1,2,NA,0.0643,0.2754
"248",2,"continuous",150,150,1,1,3.16227766016838,3.16227766016838,1,3,NA,0.4304,0.7803
"249",2,"continuous",150,150,1,1,3.16227766016838,3.16227766016838,1,4,NA,0.8829,0.9827
"250",2,"continuous",150,150,1,1,3.16227766016838,3.16227766016838,1,5,NA,0.9927,0.9998
"251",2,"continuous",150,150,1,1,10,10,1,1,NA,0.0042,0.0502
"252",2,"continuous",150,150,1,1,10,10,1,2,NA,0.0078,0.0754
"253",2,"continuous",150,150,1,1,10,10,1,3,NA,0.0221,0.1417
"254",2,"continuous",150,150,1,1,10,10,1,4,NA,0.0569,0.2535
"255",2,"continuous",150,150,1,1,10,10,1,5,NA,0.1235,0.4076
"256",2,"continuous",200,200,1,1,1,1,1,1,NA,0.0026,0.0486
"257",2,"continuous",200,200,1,1,1,1,1,2,NA,0.9804,0.9991
"258",2,"continuous",200,200,1,1,1,1,1,3,NA,1,1
"259",2,"continuous",200,200,1,1,1,1,1,4,NA,1,1
"260",2,"continuous",200,200,1,1,1,1,1,5,NA,1,1
"261",2,"continuous",200,200,1,1,3.16227766016838,3.16227766016838,1,1,NA,0.0026,0.0486
"262",2,"continuous",200,200,1,1,3.16227766016838,3.16227766016838,1,2,NA,0.0865,0.3515
"263",2,"continuous",200,200,1,1,3.16227766016838,3.16227766016838,1,3,NA,0.5857,0.8834
