"","num_arms","outcome_type","n1","n2","mean1","mean2","sd1","sd2","trteff1","trteff2","MEM_power","MEMr_power","pval_power","MEM_contapprox_power","pval_chisq_power","MEMcutoff","pvalcutoff"
"154",1,"continuous",630,70,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"155",1,"continuous",630,70,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"156",1,"continuous",675,225,1,1,3.16227766016838,3.16227766016838,NA,NA,0.05,0.05,0.0498,NA,NA,"calibrated",0.05
"157",1,"continuous",675,225,1,2,3.16227766016838,3.16227766016838,NA,NA,0.9832,0.984,0.9839,NA,NA,"calibrated",0.05
"158",1,"continuous",675,225,1,3,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"159",1,"continuous",675,225,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"160",1,"continuous",675,225,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"161",1,"continuous",720,80,1,1,3.16227766016838,3.16227766016838,NA,NA,0.05,0.05,0.047,NA,NA,"calibrated",0.05
"162",1,"continuous",720,80,1,2,3.16227766016838,3.16227766016838,NA,NA,0.7671,0.7712,0.7647,NA,NA,"calibrated",0.05
"163",1,"continuous",720,80,1,3,3.16227766016838,3.16227766016838,NA,NA,0.9994,0.9994,0.9994,NA,NA,"calibrated",0.05
"164",1,"continuous",720,80,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"165",1,"continuous",720,80,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"166",1,"continuous",750,250,1,1,3.16227766016838,3.16227766016838,NA,NA,0.05,0.05,0.0527,NA,NA,"calibrated",0.05
"167",1,"continuous",750,250,1,2,3.16227766016838,3.16227766016838,NA,NA,0.9914,0.9911,0.9917,NA,NA,"calibrated",0.05
"168",1,"continuous",750,250,1,3,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"169",1,"continuous",750,250,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"170",1,"continuous",750,250,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"171",1,"continuous",810,90,1,1,3.16227766016838,3.16227766016838,NA,NA,0.05,0.05,0.0472,NA,NA,"calibrated",0.05
"172",1,"continuous",810,90,1,2,3.16227766016838,3.16227766016838,NA,NA,0.8144,0.8186,0.8117,NA,NA,"calibrated",0.05
"173",1,"continuous",810,90,1,3,3.16227766016838,3.16227766016838,NA,NA,0.9999,1,0.9999,NA,NA,"calibrated",0.05
"174",1,"continuous",810,90,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"175",1,"continuous",810,90,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"176",1,"continuous",900,100,1,1,3.16227766016838,3.16227766016838,NA,NA,0.05,0.05,0.051,NA,NA,"calibrated",0.05
"177",1,"continuous",900,100,1,2,3.16227766016838,3.16227766016838,NA,NA,0.8424,0.8436,0.8458,NA,NA,"calibrated",0.05
"178",1,"continuous",900,100,1,3,3.16227766016838,3.16227766016838,NA,NA,1,0.9999,0.9999,NA,NA,"calibrated",0.05
"179",1,"continuous",900,100,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"180",1,"continuous",900,100,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"181",2,"binary",150,50,0.1,0.1,NA,NA,0.1,0.1,0.05,0.0499,0.0738,NA,NA,"calibrated",0.05
"182",2,"binary",150,50,0.1,0.1,NA,NA,0.1,0.2,0.1242,0.0845,0.1185,NA,NA,"calibrated",0.05
"183",2,"binary",150,50,0.1,0.1,NA,NA,0.1,0.3,0.3453,0.173,0.2222,NA,NA,"calibrated",0.05
"184",2,"binary",150,50,0.1,0.1,NA,NA,0.1,0.4,0.6271,0.3057,0.3751,NA,NA,"calibrated",0.05
"185",2,"binary",150,50,0.1,0.1,NA,NA,0.1,0.5,0.8566,0.4873,0.5619,NA,NA,"calibrated",0.05
"186",2,"binary",180,20,0.1,0.1,NA,NA,0.1,0.1,0.0482,0.0499,0.0634,NA,NA,"calibrated",0.05
"187",2,"binary",180,20,0.1,0.1,NA,NA,0.1,0.2,0.0772,0.0673,0.0874,NA,NA,"calibrated",0.05
"188",2,"binary",180,20,0.1,0.1,NA,NA,0.1,0.3,0.1828,0.1363,0.1675,NA,NA,"calibrated",0.05
"189",2,"binary",180,20,0.1,0.1,NA,NA,0.1,0.4,0.3436,0.235,0.2731,NA,NA,"calibrated",0.05
"190",2,"binary",180,20,0.1,0.1,NA,NA,0.1,0.5,0.5367,0.354,0.398,NA,NA,"calibrated",0.05
"191",2,"binary",225,75,0.1,0.1,NA,NA,0.1,0.1,0.05,0.05,0.0594,NA,NA,"calibrated",0.05
"192",2,"binary",225,75,0.1,0.1,NA,NA,0.1,0.2,0.1788,0.1073,0.1244,NA,NA,"calibrated",0.05
"193",2,"binary",225,75,0.1,0.1,NA,NA,0.1,0.3,0.4821,0.261,0.2861,NA,NA,"calibrated",0.05
"194",2,"binary",225,75,0.1,0.1,NA,NA,0.1,0.4,0.8022,0.4716,0.5006,NA,NA,"calibrated",0.05
"195",2,"binary",225,75,0.1,0.1,NA,NA,0.1,0.5,0.9608,0.6972,0.7231,NA,NA,"calibrated",0.05
"196",2,"binary",270,30,0.1,0.1,NA,NA,0.1,0.1,0.0497,0.05,0.0685,NA,NA,"calibrated",0.05
"197",2,"binary",270,30,0.1,0.1,NA,NA,0.1,0.2,0.1023,0.0938,0.1171,NA,NA,"calibrated",0.05
