"","num_arms","outcome_type","n1","n2","mean1","mean2","sd1","sd2","trteff1","trteff2","MEM_power","MEMr_power","pval_power","MEMcutoff","pvalcutoff"
"119",1,"continuous",360,40,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,0.9999,0.8,0.05
"120",1,"continuous",360,40,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"121",1,"continuous",375,125,1,1,3.16227766016838,3.16227766016838,NA,NA,1,0.0677,0.053,0.8,0.05
"122",1,"continuous",375,125,1,2,3.16227766016838,3.16227766016838,NA,NA,1,0.8869,0.8633,0.8,0.05
"123",1,"continuous",375,125,1,3,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"124",1,"continuous",375,125,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"125",1,"continuous",375,125,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"126",1,"continuous",450,50,1,1,3.16227766016838,3.16227766016838,NA,NA,1,0.0675,0.0534,0.8,0.05
"127",1,"continuous",450,50,1,2,3.16227766016838,3.16227766016838,NA,NA,1,0.6117,0.5709,0.8,0.05
"128",1,"continuous",450,50,1,3,3.16227766016838,3.16227766016838,NA,NA,1,0.9919,0.9887,0.8,0.05
"129",1,"continuous",450,50,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"130",1,"continuous",450,50,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"131",1,"continuous",450,150,1,1,3.16227766016838,3.16227766016838,NA,NA,1,0.0572,0.0503,0.8,0.05
"132",1,"continuous",450,150,1,2,3.16227766016838,3.16227766016838,NA,NA,1,0.9262,0.9167,0.8,0.05
"133",1,"continuous",450,150,1,3,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"134",1,"continuous",450,150,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"135",1,"continuous",450,150,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"136",1,"continuous",525,175,1,1,3.16227766016838,3.16227766016838,NA,NA,1,0.0556,0.0539,0.8,0.05
"137",1,"continuous",525,175,1,2,3.16227766016838,3.16227766016838,NA,NA,1,0.9529,0.9512,0.8,0.05
